method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,congo,OPG027,EBC-251173,69,1,249,129,107,0,9,0,4,0,0
AD,congo,OPG027,EBC-252122,79,1,183,97,54,0,20,5,0,7,0
AD,congo,OPG027,EBC-252141,81,1,184,85,74,0,17,6,2,0,0
AD,congo,OPG027,EBC-255056,87,1,188,113,63,0,7,2,3,0,0
AD,congo,OPG027,EBC-26770,53,1,160,121,38,0,0,1,0,0,0
AD,congo,OPG027,EBC-27035,64,1,216,137,74,0,3,2,0,0,0
AD,congo,OPG027,EBC-27122,94,1,174,68,92,0,9,0,1,4,0
AD,congo,OPG027,EBC-27226,56,1,188,106,69,0,4,3,1,5,0
AD,congo,OPG027,EBC-27265,1,1,136,106,23,0,0,5,0,2,0
AD,congo,OPG027,EBC-290041,7,1,290,103,155,0,21,4,3,4,0
AD,congo,OPG027,EBC-291167,40,1,214,71,109,0,17,3,3,11,0
AD,congo,OPG027,EBC-292044,99,1,231,189,35,0,6,1,0,0,0
AD,congo,OPG027,EBC-306048,17,1,186,67,83,0,17,2,3,14,0
AD,congo,OPG027,EBC-309072,38,1,240,101,107,0,30,0,0,2,0
AD,congo,OPG027,EBC-352046,67,1,207,129,66,0,10,2,0,0,0
AD,congo,OPG027,EBC-352066,37,1,222,174,42,0,4,0,2,0,0
AD,congo,OPG027,EBC-44358,34,1,223,82,107,0,18,0,0,16,0
AD,congo,OPG027,EBC-44370,22,1,192,110,56,0,11,1,1,13,0
AD,congo,OPG027,EBC-44401,45,1,233,132,74,0,21,0,0,6,0
AD,congo,OPG027,EBC-46057,13,1,0,0,0,0,0,0,0,0,0
AD,congo,OPG027,EBC-46294,9,1,295,104,139,0,45,1,2,4,0
AD,congo,OPG027,EBC-47066,93,1,230,94,99,0,20,1,2,14,0
AD,congo,OPG027,EBC-47073,48,1,261,112,113,0,22,0,4,10,0
AD,congo,OPG027,EBC-47120,72,1,221,121,69,0,16,2,1,12,0
AD,congo,OPG027,EBC-48186,5,1,157,76,57,0,4,1,0,19,0
AD,congo,OPG027,EBC-50088,21,1,160,87,53,0,20,0,0,0,0
AD,congo,OPG027,EBC-50104,97,1,210,91,98,0,13,3,1,4,0
AD,congo,OPG027,EBC-53021,73,1,187,72,92,0,17,0,3,3,0
AD,congo,OPG027,EBC-63030,57,1,165,110,37,0,13,3,2,0,0
AD,congo,OPG027,EBC-63089,3,1,247,79,131,0,31,0,3,3,0
AD,congo,OPG027,EBC-71032,77,1,198,153,38,0,0,4,3,0,0
AD,congo,OPG027,EBC-71073,52,1,241,114,105,0,19,2,1,0,0
AD,congo,OPG027,EBC-84050,14,1,245,100,106,0,34,0,3,2,0
AD,congo,OPG092,EBC-00711,79,1,189,163,18,0,3,2,3,0,0
AD,congo,OPG092,EBC-02079,41,1,205,159,37,0,5,1,3,0,0
AD,congo,OPG092,EBC-06061,73,1,185,112,63,0,4,3,3,0,0
AD,congo,OPG092,EBC-06111,77,1,179,150,27,0,0,2,0,0,0
