method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,portugal,OPG174,EBC-217022,42,1,195,123,51,0,9,2,1,9,0
AD,portugal,OPG174,EBC-218037,65,1,181,122,53,0,6,0,0,0,0
AD,portugal,OPG174,EBC-218043,1,1,163,104,50,0,8,0,1,0,0
AD,portugal,OPG174,EBC-221084,100,1,180,100,72,0,7,0,1,0,0
AD,portugal,OPG174,EBC-23629,36,1,205,152,45,0,6,0,2,0,0
AD,portugal,OPG174,EBC-24042,81,1,302,302,0,0,0,0,0,0,0
AD,portugal,OPG174,EBC-244029,79,1,207,129,73,0,5,0,0,0,0
AD,portugal,OPG174,EBC-249047,37,1,272,144,109,0,11,0,1,7,0
AD,portugal,OPG174,EBC-251173,16,1,272,191,77,0,4,0,0,0,0
AD,portugal,OPG174,EBC-252122,31,1,179,117,36,0,17,0,0,9,0
AD,portugal,OPG174,EBC-253180,88,1,218,104,102,0,10,0,0,2,0
AD,portugal,OPG174,EBC-27184,23,1,200,173,27,0,0,0,0,0,0
AD,portugal,OPG174,EBC-27265,60,1,174,134,34,0,1,0,0,5,0
AD,portugal,OPG174,EBC-27284,80,1,243,196,45,0,2,0,0,0,0
AD,portugal,OPG174,EBC-27345,22,1,163,90,58,0,1,0,0,14,0
AD,portugal,OPG174,EBC-27428,6,1,159,103,50,0,5,0,1,0,0
AD,portugal,OPG174,EBC-287042,89,1,230,167,59,0,4,0,0,0,0
AD,portugal,OPG174,EBC-287070,40,1,230,182,38,0,10,0,0,0,0
AD,portugal,OPG174,EBC-289112,58,1,211,166,39,0,3,2,1,0,0
AD,portugal,OPG174,EBC-290041,8,1,209,113,90,0,2,0,4,0,0
AD,portugal,OPG174,EBC-291159,62,1,259,197,56,0,6,0,0,0,0
AD,portugal,OPG174,EBC-291167,95,1,207,89,92,0,15,0,0,11,0
AD,portugal,OPG174,EBC-292060,86,1,184,125,46,0,7,0,1,5,0
AD,portugal,OPG174,EBC-306048,20,1,210,88,98,0,12,0,1,11,0
AD,portugal,OPG174,EBC-309070,98,1,142,89,39,0,7,2,0,5,0
AD,portugal,OPG174,EBC-309072,30,1,245,157,74,0,12,0,0,2,0
AD,portugal,OPG174,EBC-331067,24,1,99,55,33,0,2,3,1,5,0
AD,portugal,OPG174,EBC-43021,76,1,191,124,62,0,4,0,0,1,0
AD,portugal,OPG174,EBC-44370,55,1,262,160,64,0,20,0,2,16,0
AD,portugal,OPG174,EBC-44401,63,1,266,158,84,0,17,0,0,7,0
AD,portugal,OPG174,EBC-44402,66,1,272,139,104,0,23,0,0,6,0
AD,portugal,OPG174,EBC-46024,34,1,246,136,89,0,17,0,3,1,0
AD,portugal,OPG174,EBC-46057,11,1,268,205,56,0,7,0,0,0,0
AD,portugal,OPG174,EBC-46200,26,1,295,159,102,0,26,0,1,7,0
AD,portugal,OPG174,EBC-46294,5,1,309,163,131,0,12,0,2,1,0
AD,portugal,OPG174,EBC-47073,15,1,246,131,89,0,16,0,0,10,0
AD,portugal,OPG174,EBC-47094,46,1,100,69,26,0,3,0,0,2,0
AD,portugal,OPG174,EBC-47119,61,1,263,108,135,0,17,1,2,0,0
AD,portugal,OPG174,EBC-48186,7,1,107,72,25,0,0,0,0,10,0
AD,portugal,OPG174,EBC-48188,29,1,139,76,51,0,11,1,0,0,0
AD,portugal,OPG174,EBC-53021,91,1,121,61,50,0,10,0,0,0,0
AD,portugal,OPG174,EBC-54045,74,1,205,107,82,0,12,0,3,1,0
AD,portugal,OPG174,EBC-63089,3,1,254,129,105,0,17,0,1,2,0
AD,portugal,OPG174,EBC-71073,71,1,258,153,79,0,23,1,2,0,0
AD,portugal,OPG174,EBC-84050,21,1,132,74,51,0,4,0,0,3,0
AD,portugal,OPG198,EBC-00711,35,1,189,146,34,0,9,0,0,0,0
AD,portugal,OPG198,EBC-02079,7,1,209,137,55,0,14,1,2,0,0
AD,portugal,OPG198,EBC-02080,5,1,93,72,18,0,3,0,0,0,0
AD,portugal,OPG198,EBC-03838,72,1,165,142,19,0,3,0,1,0,0
AD,portugal,OPG198,EBC-03852,96,1,203,169,31,0,0,0,3,0,0
AD,portugal,OPG198,EBC-03865,59,1,238,205,31,0,0,0,2,0,0
AD,portugal,OPG198,EBC-06061,25,1,195,134,50,0,10,0,1,0,0
AD,portugal,OPG198,EBC-06700,60,1,193,156,24,0,6,0,1,6,0
AD,portugal,OPG198,EBC-07157,88,1,194,98,71,0,22,1,2,0,0
AD,portugal,OPG198,EBC-07217,84,1,192,150,33,0,6,2,1,0,0
AD,portugal,OPG198,EBC-07421,62,1,196,144,35,0,6,0,4,7,0
AD,portugal,OPG198,EBC-07462,92,1,221,145,56,0,18,0,2,0,0
AD,portugal,OPG198,EBC-07557,87,1,236,137,83,0,11,4,1,0,0
AD,portugal,OPG198,EBC-07670,37,1,258,173,82,0,2,0,1,0,0
AD,portugal,OPG198,EBC-08587,65,1,168,137,30,0,1,0,0,0,0
AD,portugal,OPG198,EBC-08915,12,1,220,161,49,0,6,2,2,0,0
AD,portugal,OPG198,EBC-11025,39,1,166,82,77,0,7,0,0,0,0
AD,portugal,OPG198,EBC-11069,53,1,246,164,73,0,6,1,2,0,0
AD,portugal,OPG198,EBC-11230,91,1,289,161,94,0,21,3,10,0,0
AD,portugal,OPG198,EBC-11260,10,1,142,82,48,0,12,0,0,0,0
AD,portugal,OPG198,EBC-11281,21,1,177,112,39,0,3,0,1,22,0
AD,portugal,OPG198,EBC-11364,11,1,199,98,73,0,14,1,5,8,0
AD,portugal,OPG198,EBC-11433,29,1,239,121,99,0,8,3,3,5,0
AD,portugal,OPG198,EBC-12063,95,1,241,87,115,0,34,1,4,0,0
AD,portugal,OPG198,EBC-12412,99,1,276,176,86,0,12,0,2,0,0
AD,portugal,OPG198,EBC-12442,90,1,223,113,83,0,19,1,1,6,0
AD,portugal,OPG198,EBC-12821,3,1,250,114,120,0,11,3,2,0,0
AD,portugal,OPG198,EBC-12884,28,1,148,70,48,0,16,1,7,6,0
AD,portugal,OPG198,EBC-13002,86,1,227,112,93,0,7,1,3,11,0
AD,portugal,OPG198,EBC-13061,16,1,150,82,62,0,6,0,0,0,0
AD,portugal,OPG198,EBC-13071,77,1,234,158,74,0,0,1,1,0,0
AD,portugal,OPG198,EBC-13379,82,1,268,181,74,0,10,1,2,0,0
AD,portugal,OPG198,EBC-13607,1,1,306,218,70,0,18,0,0,0,0
AD,portugal,OPG198,EBC-13827,45,1,227,130,73,0,11,0,1,12,0
AD,portugal,OPG198,EBC-14147,22,1,170,86,62,0,17,0,2,3,0
AD,portugal,OPG198,EBC-14210,49,1,201,141,49,0,8,3,0,0,0
AD,portugal,OPG198,EBC-145226,14,1,283,174,96,0,6,4,3,0,0
AD,portugal,OPG198,EBC-148031,55,1,303,194,77,0,29,1,2,0,0
AD,portugal,OPG198,EBC-149094,9,1,240,166,56,0,13,1,4,0,0
AD,portugal,OPG198,EBC-154070,33,1,197,108,66,0,14,1,2,6,0
AD,portugal,OPG198,EBC-157209,63,1,247,165,68,0,10,4,0,0,0
AD,portugal,OPG198,EBC-157219,57,1,228,127,69,0,21,0,4,7,0
AD,portugal,OPG198,EBC-157241,81,1,231,122,82,0,20,1,2,4,0
AD,portugal,OPG198,EBC-157248,98,1,213,130,69,0,11,0,3,0,0
AD,portugal,OPG198,EBC-157249,93,1,252,151,77,0,19,1,4,0,0
AD,portugal,OPG198,EBC-160036,4,1,220,149,63,0,3,2,2,1,0
AD,portugal,OPG198,EBC-198037,24,1,228,109,87,0,18,0,2,12,0
AD,portugal,OPG198,EBC-216028,27,1,265,199,48,0,10,5,3,0,0
AD,portugal,OPG198,EBC-217022,17,1,214,110,67,0,28,1,4,4,0
AD,portugal,OPG198,EBC-218037,66,1,198,134,52,0,10,2,0,0,0
AD,portugal,OPG198,EBC-218043,2,1,242,129,89,0,19,1,4,0,0
AD,portugal,OPG198,EBC-221084,8,1,269,112,119,0,32,3,3,0,0
AD,portugal,OPG198,EBC-23629,100,1,229,171,54,0,3,0,1,0,0
AD,portugal,OPG198,EBC-244029,36,1,258,183,67,0,6,0,2,0,0
AD,portugal,OPG198,EBC-249057,52,1,223,157,47,0,7,3,9,0,0
AD,portugal,OPG198,EBC-251173,23,1,294,188,90,0,16,0,0,0,0
AD,portugal,OPG198,EBC-252122,61,1,211,136,55,0,8,1,3,8,0
AD,portugal,OPG198,EBC-253165,80,1,225,162,42,0,17,1,3,0,0
AD,portugal,OPG198,EBC-253205,54,1,262,176,79,0,5,0,2,0,0
AD,portugal,OPG198,EBC-255053,51,1,231,161,57,0,7,3,3,0,0
AD,portugal,OPG198,EBC-255056,50,1,204,139,42,0,13,3,7,0,0
AD,portugal,OPG198,EBC-265042,46,1,195,133,46,0,10,3,3,0,0
AD,portugal,OPG198,EBC-27035,40,1,239,152,77,0,8,1,1,0,0
AD,portugal,OPG198,EBC-27042,18,1,150,82,49,0,14,0,0,5,0
AD,portugal,OPG198,EBC-27078,44,1,238,221,17,0,0,0,0,0,0
AD,portugal,OPG198,EBC-27122,75,1,201,96,80,0,8,1,1,15,0
AD,portugal,OPG198,EBC-27184,58,1,220,197,20,0,3,0,0,0,0
AD,portugal,OPG198,EBC-27265,15,1,179,140,34,0,0,0,1,4,0
AD,portugal,OPG198,EBC-27284,34,1,281,212,56,0,12,1,0,0,0
AD,portugal,OPG198,EBC-27288,83,1,223,88,104,0,4,1,2,24,0
AD,portugal,OPG198,EBC-27345,85,1,205,154,41,0,3,0,2,5,0
AD,portugal,OPG198,EBC-27347,76,1,273,74,166,0,26,0,3,4,0
AD,portugal,OPG198,EBC-27367,68,1,253,114,100,0,22,0,1,16,0
AD,portugal,OPG198,EBC-27428,70,1,245,104,130,0,11,0,0,0,0
AD,portugal,OPG198,EBC-287050,79,1,260,153,89,0,13,2,3,0,0
AD,portugal,OPG198,EBC-287051,30,1,259,136,99,0,17,2,5,0,0
AD,portugal,OPG198,EBC-287070,97,1,272,202,57,0,11,0,2,0,0
AD,portugal,OPG198,EBC-287071,47,1,197,105,68,0,20,3,1,0,0
AD,portugal,OPG198,EBC-289112,71,1,223,178,31,0,9,2,3,0,0
AD,portugal,OPG198,EBC-290041,20,1,310,102,172,0,26,0,5,5,0
AD,portugal,OPG198,EBC-291106,69,1,228,155,62,0,8,3,0,0,0
AD,portugal,OPG198,EBC-291167,56,1,235,95,100,0,29,0,2,9,0
AD,portugal,OPG198,EBC-292060,94,1,199,132,54,0,10,0,1,2,0
AD,portugal,OPG198,EBC-306041,78,1,213,94,84,0,26,1,4,4,0
AD,portugal,OPG198,EBC-309072,73,1,255,153,91,0,9,0,2,0,0
AD,portugal,OPG198,EBC-331067,48,1,169,107,51,0,3,2,1,5,0
AD,portugal,OPG198,EBC-43021,42,1,220,142,65,0,5,2,0,6,0
AD,portugal,OPG198,EBC-46057,74,1,287,219,62,0,2,3,1,0,0
AD,portugal,OPG198,EBC-46294,13,1,365,180,158,0,22,1,3,1,0
AD,portugal,OPG198,EBC-47024,67,1,263,118,128,0,13,0,4,0,0
AD,portugal,OPG198,EBC-47073,89,1,276,108,130,0,25,1,1,11,0
AD,portugal,OPG198,EBC-47094,41,1,179,122,40,0,8,2,1,6,0
AD,portugal,OPG198,EBC-47119,64,1,277,102,141,0,31,3,0,0,0
AD,portugal,OPG198,EBC-48186,31,1,182,102,61,0,4,0,0,15,0
AD,portugal,OPG198,EBC-48188,19,1,227,118,90,0,16,0,3,0,0
AD,portugal,OPG198,EBC-53021,26,1,210,107,78,0,17,1,4,3,0
AD,portugal,OPG198,EBC-63089,38,1,325,159,131,0,25,2,2,6,0
AD,portugal,OPG198,EBC-71073,43,1,277,159,105,0,12,0,1,0,0
AD,portugal,OPG198,EBC-84050,6,1,221,113,81,0,18,1,4,4,0
AD,portugal,OPG198,EBC-99051,32,1,190,100,63,0,20,3,2,2,0
AD,portugal,OPG199,EBC-00651,68,1,170,82,66,0,11,0,7,4,0
AD,portugal,OPG199,EBC-00696,48,1,206,136,55,0,9,1,1,4,0
AD,portugal,OPG199,EBC-00711,19,1,181,137,34,0,9,0,1,0,0
AD,portugal,OPG199,EBC-02079,11,1,170,96,52,0,21,0,1,0,0
AD,portugal,OPG199,EBC-06061,20,1,184,86,72,0,23,1,2,0,0
AD,portugal,OPG199,EBC-06062,78,1,229,155,64,0,9,0,1,0,0
AD,portugal,OPG199,EBC-06902,70,1,203,117,76,0,8,1,1,0,0
AD,portugal,OPG199,EBC-07367,73,1,213,140,67,0,4,1,1,0,0
AD,portugal,OPG199,EBC-07618,95,1,196,99,69,0,10,0,0,18,0
AD,portugal,OPG199,EBC-07940,91,1,243,96,118,0,15,0,2,12,0
AD,portugal,OPG199,EBC-07988,31,1,290,137,118,0,27,0,5,3,0
AD,portugal,OPG199,EBC-08480,74,1,211,121,74,0,16,0,0,0,0
AD,portugal,OPG199,EBC-08587,46,1,116,74,41,0,1,0,0,0,0
AD,portugal,OPG199,EBC-08615,54,1,265,105,146,0,14,0,0,0,0
AD,portugal,OPG199,EBC-08787,52,1,185,136,40,0,8,0,1,0,0
AD,portugal,OPG199,EBC-08788,69,1,206,115,79,0,9,1,2,0,0
AD,portugal,OPG199,EBC-08908,29,1,205,106,85,0,7,0,0,7,0
AD,portugal,OPG199,EBC-08915,24,1,208,138,55,0,13,0,2,0,0
AD,portugal,OPG199,EBC-09029,40,1,196,89,69,0,19,0,2,17,0
AD,portugal,OPG199,EBC-09060,99,1,267,117,130,0,18,0,2,0,0
AD,portugal,OPG199,EBC-09202,45,1,239,125,98,0,14,0,0,2,0
AD,portugal,OPG199,EBC-09220,83,1,168,112,44,0,11,0,1,0,0
AD,portugal,OPG199,EBC-102119,30,1,269,77,183,0,6,0,3,0,0
AD,portugal,OPG199,EBC-11230,82,1,297,173,99,0,24,0,1,0,0
AD,portugal,OPG199,EBC-11260,27,1,207,94,94,0,16,0,3,0,0
AD,portugal,OPG199,EBC-11281,44,1,172,80,55,0,7,0,0,30,0
AD,portugal,OPG199,EBC-11364,14,1,210,82,94,0,20,0,0,14,0
AD,portugal,OPG199,EBC-11384,92,1,246,113,112,0,18,0,1,2,0
AD,portugal,OPG199,EBC-11433,15,1,256,107,118,0,22,0,0,9,0
AD,portugal,OPG199,EBC-118033,89,1,196,84,88,0,16,2,1,5,0
AD,portugal,OPG199,EBC-12035,17,1,185,76,109,0,0,0,0,0,0
AD,portugal,OPG199,EBC-12821,41,1,245,97,120,0,26,1,1,0,0
AD,portugal,OPG199,EBC-13064,76,1,221,110,77,0,21,0,1,12,0
AD,portugal,OPG199,EBC-13071,60,1,212,136,75,0,0,0,1,0,0
AD,portugal,OPG199,EBC-131022,56,1,219,98,92,0,19,1,0,9,0
AD,portugal,OPG199,EBC-13120,66,1,214,100,99,0,14,1,0,0,0
AD,portugal,OPG199,EBC-13353,98,1,188,94,73,0,12,0,0,9,0
AD,portugal,OPG199,EBC-13472,72,1,249,90,134,0,19,0,0,6,0
AD,portugal,OPG199,EBC-13607,2,1,284,162,92,0,29,0,1,0,0
AD,portugal,OPG199,EBC-14020,81,1,208,134,62,0,7,1,1,3,0
AD,portugal,OPG199,EBC-14214,75,1,239,164,61,0,9,0,0,5,0
AD,portugal,OPG199,EBC-144099,86,1,214,102,96,0,8,1,2,5,0
AD,portugal,OPG199,EBC-145226,62,1,245,121,104,0,15,3,2,0,0
AD,portugal,OPG199,EBC-149073,85,1,213,128,69,0,15,0,1,0,0
AD,portugal,OPG199,EBC-149094,34,1,194,126,52,0,16,0,0,0,0
AD,portugal,OPG199,EBC-157073,35,1,225,166,49,0,9,0,1,0,0
AD,portugal,OPG199,EBC-157209,55,1,232,139,77,0,11,1,4,0,0
AD,portugal,OPG199,EBC-157212,33,1,237,129,100,0,7,0,1,0,0
AD,portugal,OPG199,EBC-157222,94,1,158,101,56,0,1,0,0,0,0
AD,portugal,OPG199,EBC-157241,21,1,222,98,93,0,22,1,2,6,0
AD,portugal,OPG199,EBC-157249,59,1,216,105,87,0,22,1,1,0,0
AD,portugal,OPG199,EBC-160036,4,1,178,109,60,0,8,0,0,1,0
AD,portugal,OPG199,EBC-216028,12,1,223,143,70,0,10,0,0,0,0
AD,portugal,OPG199,EBC-217022,7,1,198,93,78,0,18,0,0,9,0
AD,portugal,OPG199,EBC-218037,51,1,135,68,53,0,14,0,0,0,0
AD,portugal,OPG199,EBC-218043,1,1,262,145,93,0,21,1,2,0,0
AD,portugal,OPG199,EBC-221084,79,1,235,86,115,0,32,0,2,0,0
AD,portugal,OPG199,EBC-23629,57,1,163,105,54,0,4,0,0,0,0
AD,portugal,OPG199,EBC-251173,67,1,240,120,97,0,21,0,2,0,0
AD,portugal,OPG199,EBC-252093,42,1,189,91,80,0,18,0,0,0,0
AD,portugal,OPG199,EBC-252122,13,1,250,129,91,0,22,0,1,7,0
AD,portugal,OPG199,EBC-252141,71,1,206,86,98,0,20,1,1,0,0
AD,portugal,OPG199,EBC-253291,87,1,211,123,67,0,20,1,0,0,0
AD,portugal,OPG199,EBC-27042,37,1,193,58,101,0,25,0,2,7,0
AD,portugal,OPG199,EBC-27122,97,1,189,58,105,0,14,0,1,11,0
AD,portugal,OPG199,EBC-27265,6,1,163,111,39,0,0,3,2,8,0
AD,portugal,OPG199,EBC-27345,8,1,176,101,58,0,0,0,1,16,0
AD,portugal,OPG199,EBC-27367,26,1,252,100,102,0,33,0,1,16,0
AD,portugal,OPG199,EBC-27428,10,1,247,104,109,0,33,1,0,0,0
AD,portugal,OPG199,EBC-286055,80,1,258,116,109,0,33,0,0,0,0
AD,portugal,OPG199,EBC-287042,28,1,229,140,74,0,14,0,1,0,0
AD,portugal,OPG199,EBC-287052,22,1,223,128,77,0,14,1,3,0,0
AD,portugal,OPG199,EBC-287064,93,1,216,152,49,0,10,2,3,0,0
AD,portugal,OPG199,EBC-287070,16,1,224,156,62,0,6,0,0,0,0
AD,portugal,OPG199,EBC-287104,90,1,208,152,40,0,13,1,2,0,0
AD,portugal,OPG199,EBC-288044,88,1,196,139,44,0,11,1,1,0,0
AD,portugal,OPG199,EBC-289112,32,1,198,134,53,0,9,2,0,0,0
AD,portugal,OPG199,EBC-290041,18,1,337,108,191,0,30,1,4,3,0
AD,portugal,OPG199,EBC-291056,43,1,195,123,54,0,15,1,2,0,0
AD,portugal,OPG199,EBC-291159,84,1,224,153,57,0,13,1,0,0,0
AD,portugal,OPG199,EBC-292060,65,1,196,127,45,0,14,0,2,8,0
AD,portugal,OPG199,EBC-306048,63,1,196,68,111,0,6,0,0,11,0
AD,portugal,OPG199,EBC-309072,49,1,246,97,117,0,29,0,2,1,0
AD,portugal,OPG199,EBC-44165,58,1,172,69,89,0,12,0,2,0,0
AD,portugal,OPG199,EBC-44358,64,1,208,77,108,0,16,0,1,6,0
AD,portugal,OPG199,EBC-46024,36,1,239,101,116,0,22,0,0,0,0
AD,portugal,OPG199,EBC-46057,3,1,241,170,64,0,7,0,0,0,0
AD,portugal,OPG199,EBC-46099,100,1,173,71,78,0,8,1,2,13,0
AD,portugal,OPG199,EBC-46286,39,1,244,111,109,0,21,2,1,0,0
AD,portugal,OPG199,EBC-46294,25,1,348,120,189,0,34,2,2,1,0
AD,portugal,OPG199,EBC-47094,53,1,157,94,52,0,6,0,2,3,0
AD,portugal,OPG199,EBC-47119,96,1,286,107,135,0,41,1,2,0,0
AD,portugal,OPG199,EBC-48186,9,1,169,100,58,0,1,0,3,7,0
AD,portugal,OPG199,EBC-50088,77,1,176,91,70,0,15,0,0,0,0
AD,portugal,OPG199,EBC-53021,50,1,193,72,95,0,19,0,2,5,0
AD,portugal,OPG199,EBC-53052,47,1,176,40,101,0,21,0,2,12,0
AD,portugal,OPG199,EBC-54045,23,1,246,92,121,0,28,1,2,2,0
AD,portugal,OPG199,EBC-63089,5,1,304,103,160,0,34,1,2,4,0
AD,portugal,OPG199,EBC-66021,61,1,177,109,52,0,13,1,2,0,0
AD,portugal,OPG199,EBC-84050,38,1,252,100,109,0,35,2,2,4,0
AD,ref,OPG027,EBC-00645,71,1,168,94,45,0,6,6,3,14,0
AD,ref,OPG027,EBC-00649,55,1,159,106,40,0,3,2,1,7,0
AD,ref,OPG027,EBC-00696,14,1,200,146,41,0,4,7,0,2,0
AD,ref,OPG027,EBC-00711,94,1,178,149,15,0,12,1,1,0,0
AD,ref,OPG027,EBC-02079,63,1,160,90,47,0,18,3,2,0,0
AD,ref,OPG027,EBC-03838,6,1,169,142,22,0,0,3,2,0,0
AD,ref,OPG027,EBC-03839,54,1,189,123,62,0,2,2,0,0,0
AD,ref,OPG027,EBC-03852,42,1,180,139,38,0,0,3,0,0,0
AD,ref,OPG027,EBC-03865,44,1,202,178,23,0,0,1,0,0,0
AD,ref,OPG027,EBC-04248,87,1,234,177,56,0,1,0,0,0,0
AD,ref,OPG027,EBC-06061,46,1,200,91,82,0,23,1,3,0,0
AD,ref,OPG027,EBC-06111,8,1,160,129,29,0,0,2,0,0,0
AD,ref,OPG027,EBC-06903,40,1,227,159,59,0,7,1,1,0,0
AD,ref,OPG027,EBC-07037,61,1,180,165,14,0,1,0,0,0,0
AD,ref,OPG027,EBC-07080,99,1,226,108,106,0,10,2,0,0,0
AD,ref,OPG027,EBC-07087,86,1,200,109,78,0,10,2,1,0,0
AD,ref,OPG027,EBC-07249,37,1,173,130,35,0,2,6,0,0,0
AD,ref,OPG027,EBC-07250,34,1,175,142,30,0,0,3,0,0,0
AD,ref,OPG027,EBC-07301,91,1,188,159,24,0,1,1,3,0,0
AD,ref,OPG027,EBC-07421,93,1,160,115,41,0,0,2,0,2,0
AD,ref,OPG027,EBC-07462,52,1,210,130,68,0,8,2,2,0,0
AD,ref,OPG027,EBC-07557,32,1,184,106,64,0,8,5,1,0,0
AD,ref,OPG027,EBC-07602,92,1,198,122,68,0,6,2,0,0,0
AD,ref,OPG027,EBC-07670,21,1,212,144,62,0,3,2,1,0,0
AD,ref,OPG027,EBC-07683,56,1,196,157,33,0,5,1,0,0,0
AD,ref,OPG027,EBC-07973,100,1,203,114,69,0,10,2,1,7,0
AD,ref,OPG027,EBC-08535,81,1,182,113,62,0,4,1,0,2,0
AD,ref,OPG027,EBC-08537,82,1,187,127,55,0,2,1,2,0,0
AD,ref,OPG027,EBC-08587,36,1,120,94,26,0,0,0,0,0,0
AD,ref,OPG027,EBC-08615,88,1,207,88,106,0,13,0,0,0,0
AD,ref,OPG027,EBC-08787,50,1,232,178,51,0,1,1,1,0,0
AD,ref,OPG027,EBC-08788,12,1,215,153,47,0,11,1,3,0,0
AD,ref,OPG027,EBC-08908,18,1,232,134,93,0,3,0,0,2,0
AD,ref,OPG027,EBC-08915,13,1,230,181,31,0,12,2,4,0,0
AD,ref,OPG027,EBC-09098,68,1,210,152,50,0,8,0,0,0,0
AD,ref,OPG027,EBC-09186,67,1,161,87,62,0,8,3,1,0,0
AD,ref,OPG027,EBC-11041,43,1,203,115,82,0,4,0,2,0,0
AD,ref,OPG027,EBC-11069,27,1,206,137,66,0,2,1,0,0,0
AD,ref,OPG027,EBC-11281,30,1,158,99,38,0,5,0,0,16,0
AD,ref,OPG027,EBC-11364,83,1,182,74,78,0,17,0,3,10,0
AD,ref,OPG027,EBC-11433,90,1,209,101,92,0,4,1,2,9,0
AD,ref,OPG027,EBC-12036,78,1,246,147,80,0,15,2,2,0,0
AD,ref,OPG027,EBC-12412,72,1,282,186,88,0,7,1,0,0,0
AD,ref,OPG027,EBC-12617,41,1,199,89,93,0,9,2,6,0,0
AD,ref,OPG027,EBC-12821,25,1,226,100,107,0,15,1,3,0,0
AD,ref,OPG027,EBC-13071,69,1,231,158,70,0,1,2,0,0,0
AD,ref,OPG027,EBC-13120,28,1,194,103,76,0,12,3,0,0,0
AD,ref,OPG027,EBC-13129,97,1,172,83,64,0,15,2,3,5,0
AD,ref,OPG027,EBC-13607,4,1,270,178,78,0,10,0,4,0,0
AD,ref,OPG027,EBC-13811,65,1,249,140,97,0,11,1,0,0,0
AD,ref,OPG027,EBC-13827,89,1,221,95,103,0,8,0,0,15,0
AD,ref,OPG027,EBC-13863,84,1,229,159,65,0,3,2,0,0,0
AD,ref,OPG027,EBC-14147,79,1,182,83,77,0,16,3,1,2,0
AD,ref,OPG027,EBC-14210,35,1,204,127,65,0,6,6,0,0,0
AD,ref,OPG027,EBC-14214,33,1,224,169,49,0,2,1,2,1,0
AD,ref,OPG027,EBC-145226,5,1,245,157,80,0,6,1,1,0,0
AD,ref,OPG027,EBC-148031,23,1,284,178,92,0,12,2,0,0,0
AD,ref,OPG027,EBC-149094,24,1,199,137,47,0,9,5,1,0,0
AD,ref,OPG027,EBC-154070,62,1,160,90,55,0,10,1,2,2,0
AD,ref,OPG027,EBC-157073,98,1,216,157,41,0,13,2,3,0,0
AD,ref,OPG027,EBC-160036,3,1,192,132,44,0,5,4,2,5,0
AD,ref,OPG027,EBC-180260,75,1,171,120,29,0,13,3,6,0,0
AD,ref,OPG027,EBC-186029,57,1,208,107,83,0,14,2,2,0,0
AD,ref,OPG027,EBC-217022,73,1,211,91,88,0,26,0,0,6,0
AD,ref,OPG027,EBC-218037,48,1,178,119,50,0,7,2,0,0,0
AD,ref,OPG027,EBC-218043,2,1,239,133,73,0,27,2,4,0,0
AD,ref,OPG027,EBC-23629,7,1,198,142,50,0,5,0,1,0,0
AD,ref,OPG027,EBC-24042,96,1,264,263,0,0,0,0,1,0,0
AD,ref,OPG027,EBC-244029,19,1,209,147,53,0,8,1,0,0,0
AD,ref,OPG027,EBC-249057,38,1,221,155,47,0,6,10,3,0,0
AD,ref,OPG027,EBC-251173,95,1,260,141,102,0,12,0,5,0,0
AD,ref,OPG027,EBC-252122,16,1,205,108,70,0,16,1,1,9,0
AD,ref,OPG027,EBC-255053,45,1,224,164,49,0,4,3,4,0,0
AD,ref,OPG027,EBC-255056,51,1,199,136,57,0,4,1,1,0,0
AD,ref,OPG027,EBC-265042,39,1,222,152,59,0,8,2,1,0,0
AD,ref,OPG027,EBC-26770,15,1,184,144,40,0,0,0,0,0,0
AD,ref,OPG027,EBC-26955,47,1,216,130,71,0,7,6,2,0,0
AD,ref,OPG027,EBC-27035,77,1,225,135,77,0,10,3,0,0,0
AD,ref,OPG027,EBC-27042,64,1,188,88,92,0,5,2,0,1,0
AD,ref,OPG027,EBC-27184,76,1,204,178,20,0,5,1,0,0,0
AD,ref,OPG027,EBC-27265,1,1,123,102,18,0,0,1,1,1,0
AD,ref,OPG027,EBC-27288,70,1,211,107,87,0,5,0,0,12,0
AD,ref,OPG027,EBC-289112,59,1,200,148,39,0,9,2,2,0,0
AD,ref,OPG027,EBC-290041,26,1,306,111,168,0,21,1,1,4,0
AD,ref,OPG027,EBC-306048,17,1,183,93,65,0,11,0,2,12,0
AD,ref,OPG027,EBC-309072,9,1,245,132,96,0,11,2,3,1,0
AD,ref,OPG027,EBC-331067,74,1,147,82,60,0,2,1,0,2,0
AD,ref,OPG027,EBC-352046,66,1,221,146,66,0,5,4,0,0,0
AD,ref,OPG027,EBC-373083,85,1,228,55,125,0,42,2,3,1,0
AD,ref,OPG027,EBC-44370,31,1,215,118,77,0,5,1,2,12,0
AD,ref,OPG027,EBC-46024,80,1,225,118,91,0,9,1,3,3,0
AD,ref,OPG027,EBC-46057,20,1,247,168,68,0,8,1,2,0,0
AD,ref,OPG027,EBC-46294,11,1,279,90,165,0,21,0,2,1,0
AD,ref,OPG027,EBC-47066,29,1,223,101,92,0,19,0,1,10,0
AD,ref,OPG027,EBC-48186,10,1,195,121,63,0,2,0,0,9,0
AD,ref,OPG027,EBC-53021,58,1,182,80,87,0,8,2,1,4,0
