strain,protein,EBC_ID,AD_best_rank,AF_best_rank,AD_n_halogen_bond,AF_n_halogen_bond,AD_n_hbond,AF_n_hbond,AD_n_hydrophobic,AF_n_hydrophobic,AD_n_metal_complex,AF_n_metal_complex,AD_n_pi_cation,AF_n_pi_cation,AD_n_pi_stack,AF_n_pi_stack,AD_n_salt_bridge,AF_n_salt_bridge,AD_n_water_bridge,AF_n_water_bridge,AD_total_interactions,AF_total_interactions,AD_minus_AF_total_interactions,AD_minus_AF_n_hydrophobic,AD_minus_AF_n_hbond,AD_minus_AF_n_water_bridge,AD_minus_AF_n_salt_bridge,AD_minus_AF_n_pi_stack,AD_minus_AF_n_pi_cation,AD_minus_AF_n_halogen_bond,AD_minus_AF_n_metal_complex
congo,OPG174,EBC-12827,,40.0,,0.0,,5.0,,6.0,,0.0,,0.0,,1.0,,1.0,,0.0,,13.0,-13.0,-6.0,-5.0,0.0,-1.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-12878,99.0,,0.0,,115.0,,152.0,,0.0,,0.0,,1.0,,8.0,,0.0,,276.0,,276.0,152.0,115.0,0.0,8.0,1.0,0.0,0.0,0.0
congo,OPG174,EBC-13002,60.0,,14.0,,71.0,,128.0,,0.0,,1.0,,1.0,,16.0,,0.0,,231.0,,231.0,128.0,71.0,0.0,16.0,1.0,1.0,14.0,0.0
congo,OPG174,EBC-13028,,65.0,,0.0,,2.0,,4.0,,0.0,,0.0,,1.0,,0.0,,0.0,,7.0,-7.0,-4.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-131022,100.0,,8.0,,73.0,,115.0,,0.0,,0.0,,0.0,,4.0,,0.0,,200.0,,200.0,115.0,73.0,0.0,4.0,0.0,0.0,8.0,0.0
congo,OPG174,EBC-13120,41.0,,0.0,,61.0,,119.0,,0.0,,1.0,,2.0,,9.0,,0.0,,192.0,,192.0,119.0,61.0,0.0,9.0,2.0,1.0,0.0,0.0
congo,OPG174,EBC-13127,50.0,,0.0,,78.0,,185.0,,0.0,,0.0,,0.0,,9.0,,0.0,,272.0,,272.0,185.0,78.0,0.0,9.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-13184,24.0,,9.0,,88.0,,150.0,,0.0,,0.0,,0.0,,4.0,,0.0,,251.0,,251.0,150.0,88.0,0.0,4.0,0.0,0.0,9.0,0.0
congo,OPG174,EBC-13250,33.0,,15.0,,47.0,,97.0,,0.0,,0.0,,3.0,,4.0,,0.0,,166.0,,166.0,97.0,47.0,0.0,4.0,3.0,0.0,15.0,0.0
congo,OPG174,EBC-13376,,17.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-13379,74.0,,0.0,,83.0,,140.0,,0.0,,0.0,,0.0,,13.0,,0.0,,236.0,,236.0,140.0,83.0,0.0,13.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-13579,19.0,,0.0,,101.0,,174.0,,0.0,,0.0,,0.0,,8.0,,0.0,,283.0,,283.0,174.0,101.0,0.0,8.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-13607,13.0,,0.0,,85.0,,166.0,,0.0,,1.0,,1.0,,9.0,,0.0,,262.0,,262.0,166.0,85.0,0.0,9.0,1.0,1.0,0.0,0.0
congo,OPG174,EBC-13716,66.0,,0.0,,30.0,,98.0,,0.0,,0.0,,0.0,,1.0,,0.0,,129.0,,129.0,98.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-13774,77.0,,5.0,,70.0,,123.0,,0.0,,2.0,,0.0,,6.0,,0.0,,206.0,,206.0,123.0,70.0,0.0,6.0,0.0,2.0,5.0,0.0
congo,OPG174,EBC-13827,58.0,,19.0,,86.0,,98.0,,0.0,,1.0,,0.0,,7.0,,0.0,,211.0,,211.0,98.0,86.0,0.0,7.0,0.0,1.0,19.0,0.0
congo,OPG174,EBC-13852,,4.0,,1.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,0.0,-4.0,0.0,0.0,0.0,0.0,-1.0,0.0
congo,OPG174,EBC-14142,,76.0,,0.0,,2.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,-6.0,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-14147,89.0,,5.0,,33.0,,46.0,,0.0,,0.0,,1.0,,3.0,,0.0,,88.0,,88.0,46.0,33.0,0.0,3.0,1.0,0.0,5.0,0.0
congo,OPG174,EBC-14214,55.0,,6.0,,46.0,,179.0,,0.0,,0.0,,0.0,,8.0,,0.0,,239.0,,239.0,179.0,46.0,0.0,8.0,0.0,0.0,6.0,0.0
congo,OPG174,EBC-145068,,36.0,,0.0,,5.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.0,-7.0,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-145084,,79.0,,0.0,,1.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,-10.0,-9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-145226,12.0,,0.0,,79.0,,140.0,,0.0,,1.0,,0.0,,11.0,,0.0,,231.0,,231.0,140.0,79.0,0.0,11.0,0.0,1.0,0.0,0.0
congo,OPG174,EBC-148031,20.0,,0.0,,76.0,,188.0,,0.0,,0.0,,0.0,,19.0,,0.0,,283.0,,283.0,188.0,76.0,0.0,19.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-149090,,60.0,,0.0,,5.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0,,7.0,-7.0,-1.0,-5.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-149094,7.0,,0.0,,28.0,,114.0,,0.0,,0.0,,0.0,,1.0,,0.0,,143.0,,143.0,114.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-150066,64.0,,0.0,,61.0,,178.0,,0.0,,2.0,,0.0,,8.0,,0.0,,249.0,,249.0,178.0,61.0,0.0,8.0,0.0,2.0,0.0,0.0
congo,OPG174,EBC-151174,,59.0,,0.0,,3.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-152142,,3.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-157073,76.0,,0.0,,26.0,,173.0,,0.0,,0.0,,1.0,,5.0,,0.0,,205.0,,205.0,173.0,26.0,0.0,5.0,1.0,0.0,0.0,0.0
congo,OPG174,EBC-157208,,25.0,,0.0,,1.0,,7.0,,0.0,,0.0,,1.0,,0.0,,0.0,,9.0,-9.0,-7.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-157213,67.0,,7.0,,83.0,,112.0,,0.0,,0.0,,1.0,,8.0,,0.0,,211.0,,211.0,112.0,83.0,0.0,8.0,1.0,0.0,7.0,0.0
congo,OPG174,EBC-157219,85.0,,2.0,,46.0,,82.0,,0.0,,1.0,,1.0,,8.0,,0.0,,140.0,,140.0,82.0,46.0,0.0,8.0,1.0,1.0,2.0,0.0
congo,OPG174,EBC-157222,25.0,,0.0,,13.0,,56.0,,0.0,,0.0,,0.0,,1.0,,0.0,,70.0,,70.0,56.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-157249,,27.0,,0.0,,1.0,,3.0,,0.0,,2.0,,0.0,,0.0,,0.0,,6.0,-6.0,-3.0,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0
congo,OPG174,EBC-160036,1.0,,2.0,,12.0,,51.0,,0.0,,2.0,,0.0,,0.0,,0.0,,67.0,,67.0,51.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0
congo,OPG174,EBC-17121,70.0,,0.0,,19.0,,46.0,,0.0,,1.0,,0.0,,1.0,,0.0,,67.0,,67.0,46.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0
congo,OPG174,EBC-198037,93.0,,16.0,,63.0,,110.0,,0.0,,2.0,,0.0,,15.0,,0.0,,206.0,,206.0,110.0,63.0,0.0,15.0,0.0,2.0,16.0,0.0
congo,OPG174,EBC-208024,,56.0,,0.0,,3.0,,4.0,,0.0,,0.0,,3.0,,0.0,,0.0,,10.0,-10.0,-4.0,-3.0,0.0,0.0,-3.0,0.0,0.0,0.0
congo,OPG174,EBC-217022,18.0,,6.0,,26.0,,79.0,,0.0,,0.0,,0.0,,4.0,,0.0,,115.0,,115.0,79.0,26.0,0.0,4.0,0.0,0.0,6.0,0.0
congo,OPG174,EBC-218037,84.0,,0.0,,44.0,,121.0,,0.0,,1.0,,2.0,,7.0,,0.0,,175.0,,175.0,121.0,44.0,0.0,7.0,2.0,1.0,0.0,0.0
congo,OPG174,EBC-218043,3.0,,0.0,,44.0,,145.0,,0.0,,3.0,,0.0,,9.0,,0.0,,201.0,,201.0,145.0,44.0,0.0,9.0,0.0,3.0,0.0,0.0
congo,OPG174,EBC-220032,97.0,,0.0,,41.0,,61.0,,0.0,,3.0,,1.0,,7.0,,0.0,,113.0,,113.0,61.0,41.0,0.0,7.0,1.0,3.0,0.0,0.0
congo,OPG174,EBC-221135,,91.0,,0.0,,3.0,,5.0,,0.0,,0.0,,1.0,,0.0,,0.0,,9.0,-9.0,-5.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-225024,,75.0,,0.0,,4.0,,7.0,,0.0,,0.0,,1.0,,0.0,,0.0,,12.0,-12.0,-7.0,-4.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-23629,36.0,,0.0,,47.0,,144.0,,0.0,,1.0,,0.0,,6.0,,0.0,,198.0,,198.0,144.0,47.0,0.0,6.0,0.0,1.0,0.0,0.0
congo,OPG174,EBC-24042,47.0,,0.0,,0.0,,277.0,,0.0,,0.0,,0.0,,0.0,,0.0,,277.0,,277.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-249047,39.0,,9.0,,79.0,,146.0,,0.0,,0.0,,0.0,,9.0,,0.0,,243.0,,243.0,146.0,79.0,0.0,9.0,0.0,0.0,9.0,0.0
congo,OPG174,EBC-251099,,37.0,,0.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,-10.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-251173,11.0,,0.0,,80.0,,219.0,,0.0,,0.0,,0.0,,16.0,,0.0,,315.0,,315.0,219.0,80.0,0.0,16.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-251220,,8.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-252122,43.0,,4.0,,31.0,,108.0,,0.0,,0.0,,1.0,,9.0,,0.0,,153.0,,153.0,108.0,31.0,0.0,9.0,1.0,0.0,4.0,0.0
congo,OPG174,EBC-253180,78.0,,5.0,,108.0,,103.0,,0.0,,0.0,,0.0,,11.0,,0.0,,227.0,,227.0,103.0,108.0,0.0,11.0,0.0,0.0,5.0,0.0
congo,OPG174,EBC-253291,88.0,,0.0,,67.0,,166.0,,0.0,,0.0,,1.0,,15.0,,0.0,,249.0,,249.0,166.0,67.0,0.0,15.0,1.0,0.0,0.0,0.0
congo,OPG174,EBC-26679,,16.0,,0.0,,7.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.0,-7.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-27122,71.0,,6.0,,78.0,,100.0,,0.0,,1.0,,0.0,,6.0,,0.0,,191.0,,191.0,100.0,78.0,0.0,6.0,0.0,1.0,6.0,0.0
congo,OPG174,EBC-27226,96.0,,0.0,,51.0,,130.0,,0.0,,2.0,,0.0,,7.0,,0.0,,190.0,,190.0,130.0,51.0,0.0,7.0,0.0,2.0,0.0,0.0
congo,OPG174,EBC-27265,44.0,,6.0,,28.0,,125.0,,0.0,,0.0,,0.0,,0.0,,0.0,,159.0,,159.0,125.0,28.0,0.0,0.0,0.0,0.0,6.0,0.0
congo,OPG174,EBC-27288,83.0,,6.0,,111.0,,104.0,,0.0,,0.0,,0.0,,3.0,,0.0,,224.0,,224.0,104.0,111.0,0.0,3.0,0.0,0.0,6.0,0.0
congo,OPG174,EBC-27345,35.0,,16.0,,43.0,,124.0,,0.0,,0.0,,0.0,,2.0,,0.0,,185.0,,185.0,124.0,43.0,0.0,2.0,0.0,0.0,16.0,0.0
congo,OPG174,EBC-27347,63.0,,4.0,,136.0,,73.0,,0.0,,1.0,,0.0,,13.0,,0.0,,227.0,,227.0,73.0,136.0,0.0,13.0,0.0,1.0,4.0,0.0
congo,OPG174,EBC-27428,5.0,,0.0,,70.0,,151.0,,0.0,,0.0,,0.0,,20.0,,0.0,,241.0,,241.0,151.0,70.0,0.0,20.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-277061,,48.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-277093,,18.0,,0.0,,8.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.0,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-280050,,94.0,,0.0,,0.0,,3.0,,2.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
congo,OPG174,EBC-28064,,68.0,,0.0,,1.0,,7.0,,0.0,,0.0,,2.0,,0.0,,0.0,,10.0,-10.0,-7.0,-1.0,0.0,0.0,-2.0,0.0,0.0,0.0
congo,OPG174,EBC-287042,86.0,,0.0,,54.0,,154.0,,0.0,,1.0,,0.0,,6.0,,0.0,,215.0,,215.0,154.0,54.0,0.0,6.0,0.0,1.0,0.0,0.0
congo,OPG174,EBC-287070,81.0,,0.0,,40.0,,166.0,,0.0,,0.0,,0.0,,1.0,,0.0,,207.0,,207.0,166.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-290041,8.0,,2.0,,100.0,,148.0,,0.0,,1.0,,0.0,,10.0,,0.0,,261.0,,261.0,148.0,100.0,0.0,10.0,0.0,1.0,2.0,0.0
congo,OPG174,EBC-29034,,98.0,,0.0,,4.0,,4.0,,0.0,,0.0,,1.0,,0.0,,0.0,,9.0,-9.0,-4.0,-4.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-29056,,89.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,2.0,,0.0,,6.0,-6.0,0.0,-4.0,0.0,-2.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-291159,82.0,,0.0,,37.0,,208.0,,0.0,,0.0,,0.0,,7.0,,0.0,,252.0,,252.0,208.0,37.0,0.0,7.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-291167,87.0,,9.0,,78.0,,88.0,,0.0,,0.0,,0.0,,17.0,,0.0,,192.0,,192.0,88.0,78.0,0.0,17.0,0.0,0.0,9.0,0.0
congo,OPG174,EBC-30021,,70.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,3.0,-3.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-306045,,90.0,,0.0,,2.0,,8.0,,0.0,,0.0,,1.0,,0.0,,0.0,,11.0,-11.0,-8.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-306048,26.0,,6.0,,83.0,,95.0,,0.0,,0.0,,0.0,,10.0,,0.0,,194.0,,194.0,95.0,83.0,0.0,10.0,0.0,0.0,6.0,0.0
congo,OPG174,EBC-309070,92.0,,11.0,,46.0,,105.0,,0.0,,0.0,,0.0,,9.0,,0.0,,171.0,,171.0,105.0,46.0,0.0,9.0,0.0,0.0,11.0,0.0
congo,OPG174,EBC-309072,34.0,,0.0,,75.0,,130.0,,0.0,,1.0,,0.0,,12.0,,0.0,,218.0,,218.0,130.0,75.0,0.0,12.0,0.0,1.0,0.0,0.0
congo,OPG174,EBC-312078,,24.0,,0.0,,1.0,,7.0,,0.0,,0.0,,1.0,,1.0,,0.0,,10.0,-10.0,-7.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-331067,54.0,,10.0,,33.0,,60.0,,0.0,,2.0,,3.0,,1.0,,0.0,,109.0,,109.0,60.0,33.0,0.0,1.0,3.0,2.0,10.0,0.0
congo,OPG174,EBC-346050,,85.0,,0.0,,2.0,,3.0,,0.0,,0.0,,2.0,,1.0,,0.0,,8.0,-8.0,-3.0,-2.0,0.0,-1.0,-2.0,0.0,0.0,0.0
congo,OPG174,EBC-365075,,55.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-367046,,96.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-43021,95.0,,4.0,,68.0,,105.0,,0.0,,0.0,,0.0,,6.0,,0.0,,183.0,,183.0,105.0,68.0,0.0,6.0,0.0,0.0,4.0,0.0
congo,OPG174,EBC-44133,,7.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-44134,,1.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-44365,,83.0,,0.0,,2.0,,7.0,,0.0,,0.0,,2.0,,0.0,,0.0,,11.0,-11.0,-7.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
congo,OPG174,EBC-44384,94.0,,9.0,,88.0,,144.0,,0.0,,0.0,,0.0,,9.0,,0.0,,250.0,,250.0,144.0,88.0,0.0,9.0,0.0,0.0,9.0,0.0
congo,OPG174,EBC-44401,38.0,,5.0,,72.0,,165.0,,0.0,,1.0,,0.0,,14.0,,0.0,,257.0,,257.0,165.0,72.0,0.0,14.0,0.0,1.0,5.0,0.0
congo,OPG174,EBC-44402,37.0,,7.0,,85.0,,144.0,,0.0,,1.0,,0.0,,19.0,,0.0,,256.0,,256.0,144.0,85.0,0.0,19.0,0.0,1.0,7.0,0.0
congo,OPG174,EBC-46024,45.0,,2.0,,86.0,,134.0,,0.0,,1.0,,0.0,,11.0,,0.0,,234.0,,234.0,134.0,86.0,0.0,11.0,0.0,1.0,2.0,0.0
congo,OPG174,EBC-46057,6.0,,0.0,,53.0,,182.0,,0.0,,0.0,,0.0,,8.0,,0.0,,243.0,,243.0,182.0,53.0,0.0,8.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-46200,21.0,,7.0,,88.0,,154.0,,0.0,,2.0,,0.0,,7.0,,0.0,,258.0,,258.0,154.0,88.0,0.0,7.0,0.0,2.0,7.0,0.0
congo,OPG174,EBC-46286,68.0,12.0,0.0,0.0,111.0,2.0,137.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,257.0,12.0,245.0,129.0,109.0,0.0,7.0,-2.0,2.0,0.0,0.0
congo,OPG174,EBC-46294,2.0,,1.0,,134.0,,142.0,,0.0,,0.0,,0.0,,14.0,,0.0,,291.0,,291.0,142.0,134.0,0.0,14.0,0.0,0.0,1.0,0.0
congo,OPG174,EBC-47073,29.0,,6.0,,71.0,,117.0,,0.0,,1.0,,0.0,,11.0,,0.0,,206.0,,206.0,117.0,71.0,0.0,11.0,0.0,1.0,6.0,0.0
congo,OPG174,EBC-47094,69.0,,4.0,,20.0,,70.0,,0.0,,0.0,,0.0,,8.0,,0.0,,102.0,,102.0,70.0,20.0,0.0,8.0,0.0,0.0,4.0,0.0
congo,OPG174,EBC-47119,53.0,,0.0,,134.0,,123.0,,0.0,,0.0,,0.0,,26.0,,0.0,,283.0,,283.0,123.0,134.0,0.0,26.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-47437,,72.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-48186,48.0,,17.0,,40.0,,101.0,,0.0,,0.0,,0.0,,2.0,,0.0,,160.0,,160.0,101.0,40.0,0.0,2.0,0.0,0.0,17.0,0.0
congo,OPG174,EBC-48187,,14.0,,0.0,,13.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,16.0,-16.0,-3.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-48188,14.0,,0.0,,22.0,,44.0,,0.0,,0.0,,0.0,,3.0,,0.0,,69.0,,69.0,44.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-50059,,58.0,,0.0,,5.0,,8.0,,0.0,,0.0,,1.0,,0.0,,0.0,,14.0,-14.0,-8.0,-5.0,0.0,0.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-50088,56.0,,0.0,,57.0,,132.0,,0.0,,2.0,,0.0,,2.0,,0.0,,193.0,,193.0,132.0,57.0,0.0,2.0,0.0,2.0,0.0,0.0
congo,OPG174,EBC-50093,,19.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-54045,46.0,,0.0,,40.0,,49.0,,0.0,,0.0,,0.0,,7.0,,0.0,,96.0,,96.0,49.0,40.0,0.0,7.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-63089,4.0,,0.0,,108.0,,126.0,,0.0,,0.0,,0.0,,17.0,,0.0,,251.0,,251.0,126.0,108.0,0.0,17.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-71073,57.0,,0.0,,85.0,,146.0,,0.0,,1.0,,0.0,,18.0,,0.0,,250.0,,250.0,146.0,85.0,0.0,18.0,0.0,1.0,0.0,0.0
congo,OPG174,EBC-84050,23.0,,3.0,,65.0,,88.0,,0.0,,0.0,,2.0,,4.0,,0.0,,162.0,,162.0,88.0,65.0,0.0,4.0,2.0,0.0,3.0,0.0
congo,OPG174,EBC-97044,,54.0,,0.0,,6.0,,14.0,,0.0,,0.0,,0.0,,1.0,,0.0,,21.0,-21.0,-14.0,-6.0,0.0,-1.0,0.0,0.0,0.0,0.0
congo,OPG174,EBC-97116,,45.0,,0.0,,5.0,,10.0,,0.0,,0.0,,1.0,,1.0,,0.0,,17.0,-17.0,-10.0,-5.0,0.0,-1.0,-1.0,0.0,0.0,0.0
congo,OPG174,EBC-99033,,88.0,,0.0,,1.0,,5.0,,0.0,,0.0,,2.0,,1.0,,0.0,,9.0,-9.0,-5.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,0.0
congo,OPG198,EBC-00538,,73.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00541,,81.0,,0.0,,3.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.0,-7.0,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00570,,94.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00571,,35.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00575,,22.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00578,,92.0,,0.0,,2.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,-6.0,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00633,,34.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00647,,57.0,,0.0,,2.0,,5.0,,0.0,,0.0,,0.0,,1.0,,0.0,,8.0,-8.0,-5.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-00670,,24.0,,0.0,,2.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,11.0,-11.0,-9.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-02055,,79.0,,0.0,,3.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,12.0,-12.0,-9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-02079,22.0,,0.0,,46.0,,124.0,,0.0,,0.0,,0.0,,21.0,,0.0,,191.0,,191.0,124.0,46.0,0.0,21.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-02080,17.0,,0.0,,37.0,,92.0,,0.0,,0.0,,0.0,,5.0,,0.0,,134.0,,134.0,92.0,37.0,0.0,5.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03034,,43.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03044,,72.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03075,,65.0,,0.0,,2.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,-6.0,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03112,,71.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03162,,76.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03207,,78.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03271,,95.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG198,EBC-03319,,63.0,,0.0,,0.0,,3.0,,0.0,,0.0,,0.0,,1.0,,0.0,,4.0,-4.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
