strain,protein,EBC_ID,AD_best_rank,AF_best_rank,AD_n_halogen_bond,AF_n_halogen_bond,AD_n_hbond,AF_n_hbond,AD_n_hydrophobic,AF_n_hydrophobic,AD_n_metal_complex,AF_n_metal_complex,AD_n_pi_cation,AF_n_pi_cation,AD_n_pi_stack,AF_n_pi_stack,AD_n_salt_bridge,AF_n_salt_bridge,AD_n_water_bridge,AF_n_water_bridge,AD_total_interactions,AF_total_interactions,AD_minus_AF_total_interactions,AD_minus_AF_n_hydrophobic,AD_minus_AF_n_hbond,AD_minus_AF_n_water_bridge,AD_minus_AF_n_salt_bridge,AD_minus_AF_n_pi_stack,AD_minus_AF_n_pi_cation,AD_minus_AF_n_halogen_bond,AD_minus_AF_n_metal_complex
congo,OPG092,EBC-216028,47.0,,0.0,,43.0,,166.0,,0.0,,3.0,,3.0,,7.0,,0.0,,222.0,,222.0,166.0,43.0,0.0,7.0,3.0,3.0,0.0,0.0
congo,OPG092,EBC-217022,13.0,,9.0,,51.0,,131.0,,0.0,,1.0,,0.0,,8.0,,0.0,,200.0,,200.0,131.0,51.0,0.0,8.0,0.0,1.0,9.0,0.0
congo,OPG092,EBC-218034,30.0,,0.0,,32.0,,170.0,,0.0,,2.0,,1.0,,6.0,,0.0,,211.0,,211.0,170.0,32.0,0.0,6.0,1.0,2.0,0.0,0.0
congo,OPG092,EBC-218037,35.0,,0.0,,51.0,,123.0,,0.0,,3.0,,3.0,,2.0,,0.0,,182.0,,182.0,123.0,51.0,0.0,2.0,3.0,3.0,0.0,0.0
congo,OPG092,EBC-218043,3.0,,0.0,,59.0,,179.0,,0.0,,9.0,,4.0,,8.0,,0.0,,259.0,,259.0,179.0,59.0,0.0,8.0,4.0,9.0,0.0,0.0
congo,OPG092,EBC-23629,22.0,,0.0,,30.0,,172.0,,0.0,,0.0,,4.0,,4.0,,0.0,,210.0,,210.0,172.0,30.0,0.0,4.0,4.0,0.0,0.0,0.0
congo,OPG092,EBC-245046,,29.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,2.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-249079,,50.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-251155,74.0,,2.0,,52.0,,124.0,,0.0,,2.0,,1.0,,10.0,,0.0,,191.0,,191.0,124.0,52.0,0.0,10.0,1.0,2.0,2.0,0.0
congo,OPG092,EBC-251173,33.0,,0.0,,57.0,,178.0,,0.0,,5.0,,3.0,,9.0,,0.0,,252.0,,252.0,178.0,57.0,0.0,9.0,3.0,5.0,0.0,0.0
